0.1	5
0.3	0
0.5	0
0.7	0
0.9	0
1.1	0
1.3	0
1.5	0
1.7	0
1.9	0
2.1	0
2.3	0
2.5	0
2.7	0
2.9	0
3.1	0
3.3	0
3.5	0
3.7	0
3.9	0
4.1	0
4.3	0
4.5	0
4.7	0
4.9	0
5.1	0
5.3	0
5.5	0
5.7	0
5.9	0
6.1	0
6.3	0
6.5	0
6.7	0
6.9	0
7.1	0
7.3	0
7.5	0
7.7	0
7.9	0
8.1	0
8.3	0
8.5	0
8.7	0
8.9	0
9.1	0
9.3	0
9.5	0
9.7	0
9.9	0
10.1	0
10.3	0
10.5	0
10.7	0
10.9	0
11.1	0
11.3	0
11.5	0
11.7	0
11.9	0
12.1	0
12.3	0
12.5	0
12.7	0
12.9	0
13.1	0
13.3	0
13.5	0
13.7	0
13.9	0
14.1	0
14.3	0
14.5	0
14.7	0
14.9	0
15.1	0
15.3	0
15.5	0
15.7	0
15.9	0
16.1	0
16.3	0
16.5	0
16.7	0
16.9	0
17.1	0
17.3	0
17.5	0
17.7	0
17.9	0
18.1	0
18.3	0
18.5	0
18.7	0
18.9	0
19.1	0
19.3	0
19.5	0
19.7	0
19.9	0
